question_id,question_text,domain,primary_skill,secondary_skills,target_role,seniority_level,difficulty,difficulty_score,bloom_level,question_type,expected_duration_min,esco_code,onet_code,tags,bias_risk_flag,conflict_sensitivity,illegal_question_flag,demographic_sensitivity
Q00001,How would you design a legacy monolithic system using Python with limited budget for cloud resources?,Technical,Python,Java|Node.js,EXP-PROD-MID,Mid,Medium,3,Create,Behavioral,13,ESCO.858,ONET.658,technical|python|medium,Low,Low,False,
Q00002,Tell me about a time you had to rapidly adapt to an unexpected change in project requirements.,Soft Skills,Adaptability,Time Management|Communication,EXP-ML E-SEN,Senior,Hard,4,Remember,Behavioral,14,ESCO.532,ONET.448,soft skills|adaptability|hard,Low,Low,False,
Q00003,How would you architect a distributed microservices architecture using Security with a hard deadline of two weeks?,System Design,Security,Scalability|Microservices,EXP-QA E-SEN,Senior,Expert,5,Evaluate,Behavioral,9,ESCO.180,ONET.665,system design|security|expert,Low,Low,False,
Q00004,How would you implement a realtime data pipeline using Node.js with limited budget for cloud resources?,Technical,Node.js,JavaScript|SQL,EXP-PROD-SEN,Senior,Expert,5,Create,Situational,5,ESCO.479,ONET.463,technical|node.js|expert,Low,Low,False,
Q00005,How would you migrate an offline-first mobile app backing service using Security with limited budget for cloud resources?,System Design,Security,Database Design|Scalability,EXP-CLOU-SEN,Senior,Easy,2,Understand,Behavioral,15,ESCO.423,ONET.510,system design|security|easy,Low,Low,False,
Q00006,How would you secure a resource-constrained IoT ecosystem using E-commerce with a hard deadline of two weeks?,Domain Knowledge,E-commerce,Healthcare|E-commerce,EXP-PROD-MID,Mid,Hard,4,Create,Case Study,12,ESCO.508,ONET.470,domain knowledge|e-commerce|hard,Low,Low,False,Culture
Q00007,Tell me about a time you had multiple competing high-priority deadlines. How did you manage?,Soft Skills,Time Management,Adaptability|Leadership,EXP-ML E-JUN,Junior,Expert,5,Evaluate,Behavioral,11,ESCO.357,ONET.666,soft skills|time management|expert,Medium,Low,False,
Q00008,Describe a project you delivered under a very tight deadline. What tradeoffs did you make?,Soft Skills,Time Management,Leadership|Conflict Resolution,EXP-FRON-MID,Mid,Medium,3,Evaluate,Behavioral,13,ESCO.405,ONET.961,soft skills|time management|medium,Low,Low,False,
Q00009,How would you scale a legacy monolithic system using API Design while ensuring 99.99% uptime?,System Design,API Design,Microservices|Security,EXP-DEVO-SEN,Senior,Hard,4,Understand,Behavioral,6,ESCO.999,ONET.680,system design|api design|hard,High,Low,False,
Q00010,Tell me about a significant conflict you had with a colleague. How was it resolved?,Soft Skills,Conflict Resolution,Adaptability|Time Management,EXP-PROD-JUN,Junior,Medium,3,Create,Behavioral,9,ESCO.787,ONET.765,soft skills|conflict resolution|medium,Low,Low,False,Age
Q00011,How would you architect a legacy monolithic system using AWS with limited budget for cloud resources?,Technical,AWS,Kubernetes|Node.js,EXP-BACK-JUN,Junior,Medium,3,Remember,Behavioral,14,ESCO.746,ONET.160,technical|aws|medium,Low,Low,False,Gender
Q00012,Describe a situation where you joined a new team mid-project. How did you get up to speed?,Soft Skills,Adaptability,Adaptability|Time Management,EXP-PROD-MID,Mid,Expert,5,Analyze,Behavioral,4,ESCO.199,ONET.774,soft skills|adaptability|expert,Low,Low,False,
