expectation_id,onet_role_id,esco_role_id,role,seniority_level,core_skills_required,min_acceptable_score,target_score,skill_depth,autonomy_level,interview_domains,num_questions_recommended,pass_threshold_pct,depth_decision_threshold,conflict_bias_sensitivity,orchestrator_weight,red_flags,green_flags
EXP-SOFT-JUN,ONET-15-1132.00,ESCO-2512,Software Engineer,Junior,Python|Java|Data Structures|Algorithms|Git|Testing|Debugging,4.0,6.0,Foundational,Guided,Technical|Behavioral|Problem Solving,8,60,5,Medium,0.6,Cannot explain basics|No coding experience,Side projects|Certifications|Bootcamp grad
EXP-SOFT-MID,ONET-15-1132.00,ESCO-2512,Software Engineer,Mid,Python|Java|Data Structures|Algorithms|Git|Testing|Debugging,6.0,7.5,Proficient,Independent,Technical|Behavioral|Problem Solving,10,70,6,Medium,0.8,No ownership examples|Poor debugging skills,Ownership mindset|Cross-team collab|OSS contrib
EXP-SOFT-SEN,ONET-15-1132.00,ESCO-2512,Software Engineer,Senior,Python|Java|Data Structures|Algorithms|Git|Testing|Debugging,7.5,9.0,Expert,Lead,Technical|Behavioral|System Design|Domain Knowledge,12,80,7,High,1.0,No leadership examples|Poor system thinking,Mentoring track|Staff+ scope|Published work
EXP-DATA-JUN,ONET-15-2051.00,ESCO-2511,Data Scientist,Junior,Python|Machine Learning|SQL|Deep Learning|NLP|Data Structures,4.0,6.0,Foundational,Guided,Technical|Behavioral|Problem Solving,8,60,5,Medium,0.6,Cannot explain basics|No coding experience,Side projects|Certifications|Bootcamp grad
EXP-DATA-MID,ONET-15-2051.00,ESCO-2511,Data Scientist,Mid,Python|Machine Learning|SQL|Deep Learning|NLP|Data Structures,6.0,7.5,Proficient,Independent,Technical|Behavioral|Problem Solving,10,70,6,Medium,0.8,No ownership examples|Poor debugging skills,Ownership mindset|Cross-team collab|OSS contrib
EXP-DATA-SEN,ONET-15-2051.00,ESCO-2511,Data Scientist,Senior,Python|Machine Learning|SQL|Deep Learning|NLP|Data Structures,7.5,9.0,Expert,Lead,Technical|Behavioral|System Design|Domain Knowledge,12,80,7,High,1.0,No leadership examples|Poor system thinking,Mentoring track|Staff+ scope|Published work
EXP-PROD-JUN,ONET-11-2021.00,ESCO-2422,Product Manager,Junior,Communication|Leadership|Agile/Scrum|Stakeholder Management,4.0,6.0,Foundational,Guided,Technical|Behavioral|Problem Solving,8,60,5,Medium,0.6,Cannot explain basics|No coding experience,Side projects|Certifications|Bootcamp grad
EXP-PROD-MID,ONET-11-2021.00,ESCO-2422,Product Manager,Mid,Communication|Leadership|Agile/Scrum|Stakeholder Management,6.0,7.5,Proficient,Independent,Technical|Behavioral|Problem Solving,10,70,6,Medium,0.8,No ownership examples|Poor debugging skills,Ownership mindset|Cross-team collab|OSS contrib
EXP-PROD-SEN,ONET-11-2021.00,ESCO-2422,Product Manager,Senior,Communication|Leadership|Agile/Scrum|Stakeholder Management,7.5,9.0,Expert,Lead,Technical|Behavioral|System Design|Domain Knowledge,12,80,7,High,1.0,No leadership examples|Poor system thinking,Mentoring track|Staff+ scope|Published work
EXP-DEVO-JUN,ONET-15-1244.00,ESCO-2514,DevOps Engineer,Junior,Docker|Kubernetes|CI/CD|Cloud Computing|Security|ETL,4.0,6.0,Foundational,Guided,Technical|Behavioral|Problem Solving,8,60,5,Medium,0.6,Cannot explain basics|No coding experience,Side projects|Certifications|Bootcamp grad
EXP-DEVO-MID,ONET-15-1244.00,ESCO-2514,DevOps Engineer,Mid,Docker|Kubernetes|CI/CD|Cloud Computing|Security|ETL,6.0,7.5,Proficient,Independent,Technical|Behavioral|Problem Solving,10,70,6,Medium,0.8,No ownership examples|Poor debugging skills,Ownership mindset|Cross-team collab|OSS contrib
EXP-DEVO-SEN,ONET-15-1244.00,ESCO-2514,DevOps Engineer,Senior,Docker|Kubernetes|CI/CD|Cloud Computing|Security|ETL,7.5,9.0,Expert,Lead,Technical|Behavioral|System Design|Domain Knowledge,12,80,7,High,1.0,No leadership examples|Poor system thinking,Mentoring track|Staff+ scope|Published work
EXP-ML E-JUN,ONET-15-2051.01,ESCO-2519,ML Engineer,Junior,Machine Learning|Deep Learning|Python|Docker|Kubernetes|NLP,4.0,6.0,Foundational,Guided,Technical|Behavioral|Problem Solving,8,60,5,Medium,0.6,Cannot explain basics|No coding experience,Side projects|Certifications|Bootcamp grad
EXP-ML E-MID,ONET-15-2051.01,ESCO-2519,ML Engineer,Mid,Machine Learning|Deep Learning|Python|Docker|Kubernetes|NLP,6.0,7.5,Proficient,Independent,Technical|Behavioral|Problem Solving,10,70,6,Medium,0.8,No ownership examples|Poor debugging skills,Ownership mindset|Cross-team collab|OSS contrib
EXP-ML E-SEN,ONET-15-2051.01,ESCO-2519,ML Engineer,Senior,Machine Learning|Deep Learning|Python|Docker|Kubernetes|NLP,7.5,9.0,Expert,Lead,Technical|Behavioral|System Design|Domain Knowledge,12,80,7,High,1.0,No leadership examples|Poor system thinking,Mentoring track|Staff+ scope|Published work
EXP-FRON-JUN,ONET-15-1253.00,ESCO-2513,Frontend Developer,Junior,React|JavaScript|TypeScript|Testing|Security|Algorithms,4.0,6.0,Foundational,Guided,Technical|Behavioral|Problem Solving,8,60,5,Medium,0.6,Cannot explain basics|No coding experience,Side projects|Certifications|Bootcamp grad
EXP-FRON-MID,ONET-15-1253.00,ESCO-2513,Frontend Developer,Mid,React|JavaScript|TypeScript|Testing|Security|Algorithms,6.0,7.5,Proficient,Independent,Technical|Behavioral|Problem Solving,10,70,6,Medium,0.8,No ownership examples|Poor debugging skills,Ownership mindset|Cross-team collab|OSS contrib
EXP-FRON-SEN,ONET-15-1253.00,ESCO-2513,Frontend Developer,Senior,React|JavaScript|TypeScript|Testing|Security|Algorithms,7.5,9.0,Expert,Lead,Technical|Behavioral|System Design|Domain Knowledge,12,80,7,High,1.0,No leadership examples|Poor system thinking,Mentoring track|Staff+ scope|Published work
EXP-BACK-JUN,ONET-15-1254.00,ESCO-2514,Backend Developer,Junior,Python|SQL|Docker|CI/CD|Security|Data Structures,4.0,6.0,Foundational,Guided,Technical|Behavioral|Problem Solving,8,60,5,Medium,0.6,Cannot explain basics|No coding experience,Side projects|Certifications|Bootcamp grad
EXP-BACK-MID,ONET-15-1254.00,ESCO-2514,Backend Developer,Mid,Python|SQL|Docker|CI/CD|Security|Data Structures,6.0,7.5,Proficient,Independent,Technical|Behavioral|Problem Solving,10,70,6,Medium,0.8,No ownership examples|Poor debugging skills,Ownership mindset|Cross-team collab|OSS contrib
EXP-BACK-SEN,ONET-15-1254.00,ESCO-2514,Backend Developer,Senior,Python|SQL|Docker|CI/CD|Security|Data Structures,7.5,9.0,Expert,Lead,Technical|Behavioral|System Design|Domain Knowledge,12,80,7,High,1.0,No leadership examples|Poor system thinking,Mentoring track|Staff+ scope|Published work
EXP-DATA-JUN,ONET-15-1243.00,ESCO-2514,Data Engineer,Junior,ETL|SQL|Python|Cloud Computing|Data Structures|Algorithms,4.0,6.0,Foundational,Guided,Technical|Behavioral|Problem Solving,8,60,5,Medium,0.6,Cannot explain basics|No coding experience,Side projects|Certifications|Bootcamp grad
EXP-DATA-MID,ONET-15-1243.00,ESCO-2514,Data Engineer,Mid,ETL|SQL|Python|Cloud Computing|Data Structures|Algorithms,6.0,7.5,Proficient,Independent,Technical|Behavioral|Problem Solving,10,70,6,Medium,0.8,No ownership examples|Poor debugging skills,Ownership mindset|Cross-team collab|OSS contrib
EXP-DATA-SEN,ONET-15-1243.00,ESCO-2514,Data Engineer,Senior,ETL|SQL|Python|Cloud Computing|Data Structures|Algorithms,7.5,9.0,Expert,Lead,Technical|Behavioral|System Design|Domain Knowledge,12,80,7,High,1.0,No leadership examples|Poor system thinking,Mentoring track|Staff+ scope|Published work
EXP-QA E-JUN,ONET-15-1255.00,ESCO-2515,QA Engineer,Junior,Testing|Python|CI/CD|Algorithms|Security|Debugging,4.0,6.0,Foundational,Guided,Technical|Behavioral|Problem Solving,8,60,5,Medium,0.6,Cannot explain basics|No coding experience,Side projects|Certifications|Bootcamp grad
EXP-QA E-MID,ONET-15-1255.00,ESCO-2515,QA Engineer,Mid,Testing|Python|CI/CD|Algorithms|Security|Debugging,6.0,7.5,Proficient,Independent,Technical|Behavioral|Problem Solving,10,70,6,Medium,0.8,No ownership examples|Poor debugging skills,Ownership mindset|Cross-team collab|OSS contrib
EXP-QA E-SEN,ONET-15-1255.00,ESCO-2515,QA Engineer,Senior,Testing|Python|CI/CD|Algorithms|Security|Debugging,7.5,9.0,Expert,Lead,Technical|Behavioral|System Design|Domain Knowledge,12,80,7,High,1.0,No leadership examples|Poor system thinking,Mentoring track|Staff+ scope|Published work
EXP-CLOU-JUN,ONET-15-1241.00,ESCO-2513,Cloud Architect,Junior,Cloud Computing|Kubernetes|Security|Scalability|CI/CD|Docker,4.0,6.0,Foundational,Guided,Technical|Behavioral|Problem Solving,8,60,5,Medium,0.6,Cannot explain basics|No coding experience,Side projects|Certifications|Bootcamp grad
EXP-CLOU-MID,ONET-15-1241.00,ESCO-2513,Cloud Architect,Mid,Cloud Computing|Kubernetes|Security|Scalability|CI/CD|Docker,6.0,7.5,Proficient,Independent,Technical|Behavioral|Problem Solving,10,70,6,Medium,0.8,No ownership examples|Poor debugging skills,Ownership mindset|Cross-team collab|OSS contrib
EXP-CLOU-SEN,ONET-15-1241.00,ESCO-2513,Cloud Architect,Senior,Cloud Computing|Kubernetes|Security|Scalability|CI/CD|Docker,7.5,9.0,Expert,Lead,Technical|Behavioral|System Design|Domain Knowledge,12,80,7,High,1.0,No leadership examples|Poor system thinking,Mentoring track|Staff+ scope|Published work
